UID,Discipline,Title,Keywords,Language,RVK,Length_RVK
46842,Wirtschaft / Recht,Die interne Revision als Internal Consultant - Analyse am Beispiel der Allgemeinen Deutschen Direktbank AG,Hochschulschrift,de,PN 216,3
252219,Europäisches Management,Der Krieg um die Talente geht weiter: Organisationsentwicklung auf Basis des McKinsey 7S-Framework durch Etablierung von Wertschätzung als Bindemittel gegen einen internen Fachkräftemangel deutscher Dienstleistungsunternehmen.,Organisationsentwicklung|Dienstleistungsbetrieb|Hochschulschrift|Organisationsentwicklung|Dienstleistungsbetrieb,de,QP 120,3
252220,Europäisches Management,Der zentralamerikanischen Zollunion: Fortschritte und Hindernisse in Bezug auf die Etablierung des freien Warenverkehrs,Zollunion|Freier Warenverkehr|Hochschulschrift|Zollunion|Freier Warenverkehr,de,QP 120,3
48555,Betriebswirtschaft,Global Sourcing im Einkauf von Fertigwaren - dargestellt am Beispiel der B/S/H Bosch und Siemens Hausgeräte GmbH im Kunststoffbereich des Produktbereiches Wäschepflege,Hochschulschrift,de,QP 120,3
4721,Allgemeiner Maschinenbau,Konstruktion eines Werkzeugeinstellplanes für Schwenkbolzen 03 00221 005 auf A40C,Werkzeugplanung|Konstruktion|Hochschulschrift|Werkzeugplanung|Konstruktion,de,ZL 3000,4
4724,Allgemeiner Maschinenbau,Konstruktive Bearbeitung der Baugruppe Magnetbandförderer,Bandförderer|Baugruppe|Konstruktion|Hochschulschrift|Bandförderer|Baugruppe|Konstruktion,de,ZL 3000,4
4718,Technologie der metallverarbeitenden Industrie,Konstruktion einer Bohrvorrichtung für T-Rotor Stufe I und Stufe II (Erzeugnis 55) zum Bohren und Reiben der Paßbohrungen,Bohren|Konstruktion|Hochschulschrift|Bohren|Konstruktion,de,ZS 3300,4
103755,Wirtschaftsingenieurwesen,Analyse und Validierung der Sicherheitseinrichtung einer Horizontal Bi-Cavity Test-Facility (HoBiCaT),Risikoanalyse|Technikbewertung|Sicherheitstechnik|Validierung|Hochschulschrift|Risikoanalyse|Technikbewertung|Sicherheitstechnik|Validierung,de,QP 500,3
243893,Wirtschaftsingenieurwesen,Erstellung eines Marketingkonzepts für die Strandbad Rangsdorf GmbH,Marketingkonzept|Marketing-Mix|Hochschulschrift|Marketingkonzept|Marketing-Mix,de,QP 500,3
236527,Logistik,Konzeption zur Geschäftsfelderweiterung des Unternehmens Lekkerland in den B2C-Bereich am Beispiel des LC Berlin.,Geschäftsfeldplanung|Hochschulschrift|Geschäftsfeldplanung,de,QP 500,3
