text	uri
Wirtschaft / Recht Die interne Revision als Internal Consultant - Analyse am Beispiel der Allgemeinen Deutschen Direktbank AG Hochschulschrift	th-wildau:PN216
Europäisches Management Der Krieg um die Talente geht weiter: Organisationsentwicklung auf Basis des McKinsey 7S-Framework durch Etablierung von Wertschätzung als Bindemittel gegen einen internen Fachkräftemangel deutscher Dienstleistungsunternehmen. Organisationsentwicklung Dienstleistungsbetrieb Hochschulschrift Organisationsentwicklung Dienstleistungsbetrieb	th-wildau:QP120
Europäisches Management Der zentralamerikanischen Zollunion: Fortschritte und Hindernisse in Bezug auf die Etablierung des freien Warenverkehrs Zollunion Freier Warenverkehr Hochschulschrift Zollunion Freier Warenverkehr	th-wildau:QP120
Betriebswirtschaft Global Sourcing im Einkauf von Fertigwaren - dargestellt am Beispiel der B/S/H Bosch und Siemens Hausgeräte GmbH im Kunststoffbereich des Produktbereiches Wäschepflege Hochschulschrift	th-wildau:QP120
Allgemeiner Maschinenbau Konstruktion eines Werkzeugeinstellplanes für Schwenkbolzen 03 00221 005 auf A40C Werkzeugplanung Konstruktion Hochschulschrift Werkzeugplanung Konstruktion	th-wildau:ZL3000
Allgemeiner Maschinenbau Konstruktive Bearbeitung der Baugruppe Magnetbandförderer Bandförderer Baugruppe Konstruktion Hochschulschrift Bandförderer Baugruppe Konstruktion	th-wildau:ZL3000
Technologie der metallverarbeitenden Industrie Konstruktion einer Bohrvorrichtung für T-Rotor Stufe I und Stufe II (Erzeugnis 55) zum Bohren und Reiben der Paßbohrungen Bohren Konstruktion Hochschulschrift Bohren Konstruktion	th-wildau:ZS3300
Wirtschaftsingenieurwesen Analyse und Validierung der Sicherheitseinrichtung einer Horizontal Bi-Cavity Test-Facility (HoBiCaT) Risikoanalyse Technikbewertung Sicherheitstechnik Validierung Hochschulschrift Risikoanalyse Technikbewertung Sicherheitstechnik Validierung	th-wildau:QP500
Wirtschaftsingenieurwesen Erstellung eines Marketingkonzepts für die Strandbad Rangsdorf GmbH Marketingkonzept Marketing-Mix Hochschulschrift Marketingkonzept Marketing-Mix	th-wildau:QP500
Logistik Konzeption zur Geschäftsfelderweiterung des Unternehmens Lekkerland in den B2C-Bereich am Beispiel des LC Berlin. Geschäftsfeldplanung Hochschulschrift Geschäftsfeldplanung	th-wildau:QP500
Wirtschaft / Recht Untersuchungen zum Einfluss der Digitalisierung auf Handelsunternehmen Digitalisierung Handelsbetrieb Hochschulschrift Digitalisierung Handelsbetrieb	th-wildau:PN216
Biosystemtechnik / Bioinformatik Standardisierung der Qualitätssicherung der qPCR - Vorschlag einer DIN SPEC Laboratorium Praxis Strategie Hochschulschrift Laboratorium Praxis Strategie	th-wildau:WF9720
Betriebswirtschaft Marketing einer Körperschaft des öffentlichen Rechts am Beispiel der landwirtschaftlichen Unfallversicherung Körperschaft des öffentlichen Rechts Marketing Hochschulschrift Körperschaft des öffentlichen Rechts Marketing	th-wildau:QP120
Telematik CarPC : Konzeption einer zukunftsorientierten Anwendung eines PCs in Kraftfahrzeugen für Multimedia-/GPS und Service-Anwendungen über das Internet Touchscreen Infotainment Personenkraftwagen Tragbarer Personal Computer Hochschulschrift Touchscreen Infotainment Personenkraftwagen Tragbarer Personal Computer	th-wildau:ST230
